dijkstra_time_ms,bellman_ford_time_ms,size_n
4.5329e-05,0.000101471,80
4.1653e-05,7.7708e-05,80
0.000105874,7.475e-05,80
6.4977e-05,0.000113645,80
6.7529e-05,0.000143044,80
6.8055e-05,0.000113116,80
6.7118e-05,0.000113412,80
6.509e-05,0.000113302,80
6.7185e-05,0.000113381,80
6.8299e-05,0.000113251,80
6.6947e-05,0.000113254,80
4.3226e-05,6.8984e-05,80
4.2478e-05,7.0243e-05,80
7.3087e-05,0.000113998,80
6.5583e-05,0.00011342,80
7.2928e-05,0.000113619,80
4.2894e-05,7.4515e-05,80
6.665e-05,0.000113334,80
6.6201e-05,0.000113302,80
6.6492e-05,0.000113313,80
6.7396e-05,0.000113287,80
6.7057e-05,0.000113333,80
6.7285e-05,0.000113185,80
6.797e-05,0.000115348,80
6.7287e-05,0.000113307,80
6.6371e-05,0.000113819,80
6.7654e-05,0.000113456,80
6.7616e-05,0.000113338,80
8.3162e-05,0.000142562,90
8.4155e-05,0.000142566,90
8.3403e-05,0.000142748,90
9.2656e-05,0.000145677,90
5.2657e-05,9.4529e-05,90
8.3389e-05,0.000142906,90
8.331e-05,0.00014743,90
5.6339e-05,9.4256e-05,90
8.4146e-05,0.000142969,90
5.1416e-05,8.8798e-05,90
5.4286e-05,9.6202e-05,90
8.3338e-05,0.000142982,90
8.2495e-05,0.000149617,90
8.4614e-05,0.000142672,90
8.4436e-05,0.000172417,90
5.3017e-05,9.0068e-05,90
8.6318e-05,0.000150485,90
5.4618e-05,9.5291e-05,90
5.1661e-05,9.7591e-05,90
8.0491e-05,0.000142584,90
5.2769e-05,8.6984e-05,90
8.2289e-05,0.000143174,90
8.2428e-05,0.000142805,90
8.2909e-05,0.000142733,90
8.4655e-05,0.000145243,90
5.592e-05,9.4796e-05,90
5.7022e-05,9.485e-05,90
8.2847e-05,0.000156353,90
8.5014e-05,0.000142625,90
8.1894e-05,0.000147717,90
5.5535e-05,8.9283e-05,90
5.4269e-05,8.9246e-05,90
6.3375e-05,0.000106657,100
0.000132961,0.00017546,100
6.8079e-05,0.000119435,100
0.000102854,0.00017616,100
6.9375e-05,0.000113964,100
0.000100178,0.000107096,100
0.000109008,0.000175566,100
0.000102567,0.0001755,100
0.000121502,0.000176772,100
0.000103574,0.00017612,100
6.1976e-05,0.00011319,100
0.000102458,0.000175728,100
6.715e-05,0.000106632,100
0.000102988,0.000175421,100
7.0415e-05,0.000123024,100
6.2865e-05,0.000121672,100
0.000102454,0.000175803,100
0.000100737,0.000175866,100
0.000100692,0.000184861,100
0.000105011,0.000175532,100
9.9209e-05,0.000175881,100
0.000103067,0.000175493,100
0.000100635,0.000175356,100
6.3071e-05,0.000107731,100
0.000103628,0.000178919,100
6.2697e-05,0.000107423,100
0.000103088,0.000175675,100
0.000102451,0.000180905,100
0.000102652,0.000175339,100
0.000103605,0.000181326,100
6.6002e-05,0.000108021,100
6.4689e-05,0.000106543,100
0.000129479,0.000212074,110
0.000123907,0.000211549,110
0.000123254,0.000211976,110
9.4092e-05,0.000142184,110
7.8274e-05,0.000130719,110
0.000121267,0.00021167,110
0.000123733,0.000224746,110
0.000121982,0.00021162,110
0.000145236,0.000150796,110
0.000121624,0.000217094,110
0.000121348,0.000211613,110
0.000120959,0.000226072,110
0.000120697,0.000211701,110
0.000161399,0.000143988,110
0.000122459,0.000211846,110
0.000130482,0.000211909,110
0.000122502,0.000211642,110
0.000120976,0.000211678,110
0.000122368,0.000211719,110
7.8964e-05,0.000136012,110
0.000122814,0.000217224,110
0.000121271,0.00021159,110
0.000128531,0.000211846,110
0.000118519,0.000212086,110
7.9625e-05,0.000136468,110
0.000121873,0.000219652,110
0.000119285,0.00021178,110
0.000121157,0.000211711,110
0.00012398,0.000240808,110
7.9403e-05,0.000143671,110
0.000127799,0.000211926,110
0.000119928,0.000211554,110
8.9276e-05,0.00015558,120
0.000147187,0.000206251,120
0.000143365,0.00025147,120
0.000146947,0.000271687,120
0.000143905,0.000272696,120
9.3337e-05,0.000168278,120
9.2001e-05,0.000161587,120
0.000144076,0.000261657,120
0.0001503,0.000251662,120
0.000142867,0.00025112,120
0.000141036,0.00025149,120
8.614e-05,0.000155472,120
0.00014446,0.00025115,120
0.000147943,0.000251222,120
0.000146174,0.000318649,120
0.000145474,0.000251377,120
0.000143705,0.000251117,120
0.000152236,0.000247025,120
0.000144734,0.000343284,120
8.4829e-05,0.000156599,120
0.000139856,0.000251265,120
0.000140032,0.000251392,120
0.000145855,0.000257468,120
0.000143388,0.000251325,120
0.00014568,0.000251063,120
0.000148814,0.000251376,120
0.00014452,0.000252405,120
0.000145604,0.000256933,120
8.5629e-05,0.000152215,120
0.000145696,0.00025242,120
0.000144626,0.00026851,120
8.3897e-05,0.000156832,120
0.000169062,0.000294087,130
0.000100669,0.000182081,130
0.000171565,0.000295004,130
0.000175238,0.000340122,130
9.9949e-05,0.000182292,130
0.000175113,0.000294259,130
0.000170129,0.000306017,130
0.000172273,0.000301966,130
0.000253274,0.000192164,130
0.000174795,0.00030636,130
0.000105967,0.000195554,130
0.00017785,0.000302109,130
0.000187651,0.00030332,130
0.000170831,0.000301383,130
0.000173081,0.000304295,130
0.000171668,0.000296459,130
0.000105748,0.000201285,130
0.00016567,0.000296785,130
0.000165596,0.000294366,130
0.000195429,0.000306487,130
0.000172278,0.000287708,130
0.000169061,0.000311834,130
0.000176315,0.000314721,130
0.000183467,0.00032292,130
0.000175224,0.000308213,130
0.000171182,0.000311206,130
0.000167752,0.000294646,130
0.000107546,0.000183722,130
0.000176482,0.000294568,130
0.000184469,0.000188885,130
0.000100055,0.000178267,130
0.000101128,0.000181592,130
0.000214409,0.000344899,140
0.000198373,0.00034477,140
0.000128473,0.000206374,140
0.000116429,0.000210567,140
0.000241592,0.000348658,140
0.00020461,0.000341035,140
0.000120373,0.00023335,140
0.000114699,0.000217157,140
0.000193917,0.000340527,140
0.000202279,0.000344365,140
0.000197207,0.000373512,140
0.000198065,0.000477152,140
0.000194715,0.000354119,140
0.000188108,0.000357628,140
0.0001145,0.000210765,140
0.000198536,0.000341025,140
0.000190559,0.000351955,140
0.000195396,0.000320511,140
0.000111863,0.000209414,140
0.000195019,0.000341051,140
0.000121711,0.000214517,140
0.000199342,0.000356052,140
0.00011708,0.000210759,140
0.000114298,0.000210818,140
