size_n,dijkstra_time_ms_mean,dijkstra_time_ms_std,bellman_ford_time_ms_mean,bellman_ford_time_ms_std,reps
1410,0.014161475,0.00144991406426381,0.02758725625,0.0007692211783427038,32
1420,0.0141417875,0.0009508924271276696,0.027979603125,0.0006853409664559201,32
1430,0.01471076875,0.001625056816975467,0.028283040625,0.0006194647053401098,32
1440,0.014747096875,0.001066746263024968,0.028874715625,0.0005221098861287337,32
1450,0.015160409375,0.0017696797295625585,0.0290590375,0.0004823557256773777,32
1460,0.014992584375,0.0010658596885581887,0.029337934375,0.0006195595580780424,32
1470,0.0153166375,0.0011446203084292841,0.029921478125,0.0005805922782676192,32
1480,0.015913665625,0.0014568493697036285,0.030831740625,0.001267817914484217,32
1490,0.0160703125,0.001149752078642935,0.03161089375,0.0009057876289235447,32
1500,0.015807021875,0.0009827575262794906,0.031324353125,0.0008805804729638476,32
1510,0.016014434375,0.0010053639986372393,0.031616203125,0.0007269034506402719,32
1520,0.016727634375,0.0012249854788959171,0.03203150625,0.0008336680416754248,32
1530,0.016784740625,0.0013777529944304639,0.032402325,0.0008827688099808459,32
1540,0.0189326875,0.003201814193425151,0.0358912,0.0021460709281731576,32
1550,0.017739746875,0.0012376402503818443,0.0359149,0.004067133507229017,32
1560,0.017602890625,0.0017896214586399575,0.034191153125,0.001438230569350838,32
1570,0.019893165625,0.006018423410070187,0.037254809375,0.004181668212519928,32
1580,0.01768249375,0.0010577420526578952,0.03610646875,0.002909923549407859,32
1590,0.020146946875,0.0029254156998391244,0.0380754125,0.0040899792036260705,32
1600,0.0181391625,0.001135272229123372,0.035677328125,0.0013105981158984183,32
1610,0.01882760625,0.0015136982214384535,0.03578994375,0.0009325860801212605,32
1620,0.0186998,0.0012916184159805096,0.0364464375,0.0012362655665728742,32
1630,0.020832484375,0.0020158412119865394,0.039873478125,0.0023328080969796865,32
1640,0.0203437,0.00212968718404253,0.039971853125,0.003481423316689632,32
1650,0.019832840625,0.0013818416513070913,0.03926926875,0.0015243724711823021,32
1660,0.020855815625,0.0024627876547864127,0.03992696875,0.0036134795124849453,32
1670,0.023003540625,0.002464961443012265,0.04654835625,0.006200999487881849,32
1680,0.0221574,0.0023830815814298092,0.0433196375,0.0038600509118039816,32
1690,0.020472828125000002,0.0007559479199299937,0.0412950375,0.0015679977891306957,32
1700,0.020714553125,0.001112282613307083,0.04104344375,0.0007364699641437785,32
1710,0.021140028125,0.00148472781790855,0.041704975,0.0008970482794281474,32
1720,0.0216904,0.0020018044756544033,0.04244135,0.0015325792314347072,32
1730,0.021494534375,0.0008673641909577886,0.042896553125,0.0007848960532231229,32
1740,0.022599753125,0.0014571793581660542,0.044629765625,0.002284760813467322,32
1750,0.0220020875,0.0010587186815763428,0.043435615625,0.0008768102449751371,32
1760,0.022300275,0.001225709421365847,0.04365276875,0.0009370971175782357,32
1770,0.02234678125,0.0010189950338561212,0.04404723125,0.0007292797913170482,32
1780,0.022598371875,0.0009450372166065654,0.044980378125,0.0011942851498737582,32
1790,0.022610653125,0.0009295716395820358,0.044830528125,0.0011670847321516484,32
1800,0.0231178875,0.001289650227956693,0.045980415625,0.0012391493160908247,32
1810,0.022989165625,0.0009943605962531195,0.04552353125,0.001030296261530361,32
1820,0.024046428125,0.001877851220183986,0.047801415625,0.0046344235872779645,32
1830,0.02373985625,0.0012009065624918277,0.04692635625,0.001840702215347702,32
1840,0.024326634375,0.0018185320552593673,0.047118840625,0.001127103531696228,32
1850,0.02438366875,0.0010892183457178993,0.0477594625,0.0010489446326397544,32
1860,0.024281434375,0.0012662540495022552,0.04804266875,0.00117153090533218,32
1870,0.025394059375,0.001881305494506969,0.049671959375,0.0021199114637850116,32
1880,0.0249425875,0.0011543335557665949,0.049061721875,0.0012079055977016516,32
1890,0.02596243125,0.001872195938837182,0.051422321875,0.0020042044839746233,32
1900,0.0258439625,0.0017792978699036738,0.050289828125,0.001314879057469349,32
1910,0.025767696875,0.0010040786443564738,0.051315521875,0.0012123585666827224,32
1920,0.026751071875,0.0016895895326665838,0.052292965625,0.002115362675554917,32
1930,0.02718633125,0.002082431354876659,0.054201225,0.004335376972723941,32
1940,0.02778525625,0.002164090940490011,0.053800940625,0.0027848525534195,32
1950,0.027046675,0.0015116462001324913,0.052785678125,0.0010271593929785112,32
1960,0.027254065625,0.001241065176473766,0.053601253125,0.0012646101204977105,32
1970,0.027536240625,0.0014077165494736895,0.054048921875,0.0013432903938962655,32
1980,0.0295157,0.005276282432203094,0.057246965625,0.003624300199573824,32
